id,subj,code,name,desc,credits,CURover,CURdiff,CURwork
1,AAS,2100,South Asian Diaspora,"This interdisciplinary course (with an emphasis in anthropology) will introduce students to the multiple routes/roots, lived experiences, and imagined worlds of South Asians who have traveled to various lands at different historical moments spanning Fiji, South Africa, Mauritius, Britain, Malaysia, United States, Trinidad, and even within South Asia itself such as the Tamil-speaking population of Sri Lanka. The course will begin with the labor migrations of the 1830s and continue up to the present period. The primary exercise will be to compare and contrast the varied expressions of the South Asian Diaspora globally in order to critically evaluate this transnational identity. Thus, we will ask what, if any, are the ties that bind a fifth-generation Indo-Trinidadian whose ancestor came to the New World as an indentured laborer or ""coolie"" in the mid-19th century to labor in the cane fields, to a Pakistani medical doctor who migrated to the United States in the late 1980s. If Diaspora violates a sense of identity based on territorial integrity, then could ""culture"" serve as the basis for a shared identity?",4,-1,-1,-1
2,AAS,4630,"Rethinking Asian American Literature: Indigeneity, Diaspora, Settler Colonialism","What are the limits and possibilities for Asian American longing and belonging? Asian Americans have been variously understood as immigrants, refugees, ""forever foreigners,"" and ""model minorities."" These ideas emerge from and shape US understandings of nation, empire, rights, and citizenship. Native and Indigenous studies scholars have asked how and whether immigrants—including exploited workers—are complicit with settlement and occupation. In this course we will read Asian American literary texts from the Americas through Asian American and Indigenous cultural critique to consider the overlapping dimensions of militarism, carcerality, racial capitalism, heteropatriarchy, and dispossession in order to learn what comparative and relational approaches can teach us.",4,-1,-1,-1
3,AAS,4950,Independent Study,Independent reading course in topics not covered in regularly scheduled courses. Students select a topic in consultation with the faculty member who has agreed to supervise the course work.,1,-1,-1,-1
4,AEM,1101,Design Your Dyson,"This course is designed to help first-year students develop a deeper comprehension of the undergraduate experience within the Dyson School of Applied Economics and Management. Through this course students will be exposed to the expectations and opportunities available throughout their academic journey. The Design Your Dyson course seeks to create and foster a sense of community around shared interests, enhance problem-solving skills through design thinking, and help students formulate collaborative and lasting connections to peers, faculty, staff, alumni and the Dyson School. The course also will help students understand, and benefit from, the location of Dyson as part of both the SC Johnson College of Business and the College of Agriculture and Life Sciences.",1,-1,-1,-1
5,AEM,1600,The Business of Modern Medicine,"Medicine as practiced today is no longer just a profession. It has become a multi trillion dollar business. The purpose of this lecture series is to present the changes that have occurred in medical practice through the eyes of someone who has lived and practiced medicine during these tumultuous times. Students will gain a better understanding of how third-party payers, the government and other regulatory agencies, new technology, and entrepreneurship have impacted the medical profession and healthcare in general. Upon completion of the course, students will have the capacity to asses their future career paths not only from a scientific, but a business perspective.",1,-1,-1,-1
6,AEM,1700,Foundations of Leadership Development,"Dyson Leadership Development provides a rich, varied, curricular and co-curricular experience for students to equip, inspire and empower students to have the capacity to lead in their communities on a local, national and global scale. Leadership is a personal, relational, and collective learning journey for achieving goals that result in positive change. The basic premise of Leadership in Dyson is leading for a better world. The foundations of this course include self-awareness, personal development, self-management, team building, networking, and community engagement. This introductory course is geared towards students in the Leadership minor.",1,-1,-1,-1
7,AEM,2010,Spreadsheet Modeling for Management and Economics,"This course will be developed as a data-driven, model-based approach to decision-making. Most applications will rely on the standard array of Excel functionality but other platforms (e.g., Access, SQL, presentation software) may be employed. A unique feature of this course will be applications drawn from the diverse program areas of the Dyson School: management; international development/trade; environment/resource economics; and food/agricultural economics. Case material will be contributed by the companies from the DUAC. Key topics will include: Optimization (Solver), Data graphing, Financial modeling, Ethical/social dimensions of IT, Forecasting, Pivot tables, Exponential smoothing, and Simulation.",3,4.2,1.2,1.8
8,AEM,2011,Spreadsheet Modeling for Non-Dyson Majors,"This course, while Excel based, will emphasize applied decision making in the business world. This introductory course is not simply a ""how to use Excel"" course, rather it covers the theory behind decision making and applying analytic tools like Excel to various business scenarios.  Understanding the value of such skills, this course will introduce students to methods used to navigate tools and applications, or typical business scenarios where such capabilities can be leveraged in business.",3,-1,-1,-1
9,AEM,2100,Introductory Statistics,"Introduces statistical methods. Topics include the descriptive analysis of data, probability concepts and distributions, estimation and hypothesis testing, regression, and correlation analysis. Includes an introduction to Minitab, a statistical software package.",4,5,2.1,2.7
10,AEM,2110,The Business of Biofuels,"After defining biofuels and identifying patterns of production, consumption and trade, several central issues on the economics and business of biofuels are addressed. These include an assessment of how effective biofuel policies are in meeting the various political goals, how biofuel policies established the crop-energy price link and hence the food-fuel trade-off, the unique contradictory and self-defeating effects of effects of combining mandates with different subsidies, the various surprising economic welfare effects of biofuel policies; and the various inconsistencies associated with binary sustainability standards, induced land use change and carbon leakages. The course will take a close look at the various factors that have created the rise of the biofuel industry and how the structure of crude oil refining, blending and retailing have consequently changed.",1,-1,-1,-1
11,AEM,2200,Business Management and Organization,"Foundational course, meant to familiarize students with the use of core concepts in marketing, accounting, organizational design and management, entrepreneurship and strategy, teamwork, leadership, and ethics; as well as with the Dyson/AEM major and the business careers that may follow it. Significant writing and analytical components (both individual and team based case study analysis, evaluation of a U.S. publicly traded corporation).",4,-1,-1,-1
12,AEM,2210,Financial Accounting,"Comprehensive introduction to financial accounting concepts and techniques, intended to provide a basic understanding of the accounting cycle, elements of financial statements, underlying theory of GAAP, and financial statement interpretation. Topics include methods of recording inventory, receivables, depreciation, bonds, and equity. Requires two evening prelims and a comprehensive final; weekly homework assignments.",3,3,2.9,2
13,AEM,2220,Foundational Perspectives and Contemporary Issues in Entrepreneurship,"This course aims to introduce students to foundational theories and contemporary issues pertaining to entrepreneurship. A primary objective of this course is to broaden students' perspectives on entrepreneurship and the myriad ways that entrepreneurial activity contributes to innovation, economic growth, and society. Students will be introduced to foundational thinking, leading-edge research and key frameworks that address central questions of entrepreneurship. In addition, this course will help students develop a deeper understanding of their own interest in entrepreneurship and how it will help them to advance their careers.",3,3.5,2.5,2.5
14,AEM,2225,Financial Accounting For Dyson Majors,"Comprehensive introduction to financial accounting concepts and applications. Focuses primarily on recording and communicating financial information for use by external users such as investors, creditors and regulators, and is intended to provide a basic understanding of the accounting cycle, elements of financial statements, Generally Accepted Accounting Principles, and financial statement interpretation. Topics include accounting for inventory, receivables, depreciation, bonds, equity, and cash flows.",4,4.8,3.6,2.8
15,AEM,2241,Finance,"This course is a survey of topics in finance. It focuses on the mathematics of finance, valuation, the economics of managerial decisions, corporate financial policy, risk management, investments, and personal finance.",3,2.5,3.7,2
16,AEM,2350,Introduction To The Economics Of Development,This course is intended as an introduction to the economics of low income countries. It focuses on the policies and constraints to promoting growth and development.,3,5,3,-1
17,AEM,2400,Marketing,"Provides a broad introduction to the fundamentals of marketing. Explores the components of an organization's strategic marketing program, including how to price, promote, and distribute goods and services. Industry guest lectures and current marketing applications from various companies are presented and analyzed.",3,4,1.1,1.8
18,AEM,2500,Environmental and Resource Economics,"This course uses microeconomics to understand the causes and how to devise solutions to environmental and natural resource problems. Subjects include valuation, benefit-cost analysis, policy design and property rights. The course relies on these concepts to explore major current policy issues such as economic incentives in environmental policy, air and water pollution, depletion of renewable and nonrenewable resources, and global warming. Students are evaluated based on problems sets, short essays, 3 quizzes and 3 prelims.",3,-1,-1,-1
